City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto ayora,-0.7393,-90.3518,31.98,79,86,2.68,EC,1681339681
84,nome,64.5011,-165.4064,-13.8,60,0,2.57,US,1681339022
85,moron,-34.6534,-58.6198,17.86,69,100,2.89,AR,1681339599
86,chokurdakh,70.6333,147.9167,-17.07,92,84,2.57,RU,1681339683
87,kilcormac,53.1742,-7.7256,6.15,74,89,6.63,IE,1681339684
88,dickinson,29.4608,-95.0513,22.19,69,75,7.72,US,1681339685
89,hastings,50.8552,0.5729,8.49,44,100,14.82,GB,1681339678
90,soe,-9.8607,124.284,20.73,88,52,1.23,ID,1681339686
91,nioro,13.35,-15.75,29.96,40,97,4.62,GM,1681339687
92,udachnyy,66.4167,112.4,-18.74,87,93,2.13,RU,1681339688
93,umm lajj,25.0213,37.2685,19.7,40,0,4.9,SA,1681339689
94,atuona,-9.8,-139.0333,27.15,67,95,4.37,PF,1681339611
95,kodinsk,58.6881,99.1844,-7.43,88,99,3.72,RU,1681339691
96,cherskiy,68.75,161.3,-19.25,91,100,2.06,RU,1681339692
97,olinda,-8.0089,-34.8553,27.85,74,40,4.12,BR,1681339198
98,kodiak,57.79,-152.4072,6.73,39,20,3.09,US,1681339694
99,bambous virieux,-20.3428,57.7575,24.14,94,20,1.54,MU,1681339694
100,aykhal,66.0,111.5,-20.28,86,63,2.63,RU,1681339695
101,atar,20.5169,-13.0499,26.24,53,72,1.88,MR,1681339696
102,westport,41.1415,-73.3579,28.75,26,0,5.66,US,1681339588
103,ribeira grande,38.5167,-28.7,17.1,93,72,2.24,PT,1681339697
104,bengkulu,-3.8004,102.2655,23.62,90,86,2.0,ID,1681339698
105,hailar,49.2,119.7,-0.98,48,1,2.19,CN,1681339699
106,dikson,73.5069,80.5464,-22.17,92,45,8.36,RU,1681339439
107,troitskoye,52.9821,84.6757,0.67,61,100,3.94,RU,1681339700
108,bluff,-46.6,168.3333,11.56,81,99,8.68,NZ,1681339701
109,hamilton,39.1834,-84.5333,25.97,34,0,5.66,US,1681339692
110,saint-philippe,-21.3585,55.7679,23.77,85,29,0.26,RE,1681339702
111,rovaniemi,66.5,25.7167,-1.33,69,0,3.09,FI,1681339703
112,hasaki,35.7333,140.8333,14.22,39,35,5.09,JP,1681339704
113,vila franca do campo,37.7167,-25.4333,15.23,82,98,1.66,PT,1681339705
114,pimentel,-6.8367,-79.9342,29.16,61,75,6.17,PE,1681339707
115,kenai,60.5544,-151.2583,5.05,71,0,9.77,US,1681339708
116,ilulissat,69.2167,-51.1,-4.99,93,100,1.54,GL,1681339709
117,san cosme y damian,-27.3167,-56.35,30.1,43,40,2.16,PY,1681339710
118,fredericton,45.9454,-66.6656,10.58,46,40,4.63,CA,1681339513
119,lagoa,39.05,-27.9833,15.28,89,62,4.12,PT,1681339711
120,wuwei,37.9281,102.6414,6.91,49,41,0.53,CN,1681339712
121,paso de carrasco,-34.8603,-56.0522,17.75,71,75,5.14,UY,1681339466
122,dunedin,-45.8742,170.5036,12.67,87,100,3.58,NZ,1681339527
123,kamenka,51.3223,42.7678,10.97,50,100,6.88,RU,1681339714
124,harbin,45.75,126.65,-0.03,35,0,1.52,CN,1681339714
125,ystad,55.4297,13.8204,7.41,81,100,7.53,SE,1681339716
126,turayf,31.6725,38.6637,8.14,76,20,4.12,SA,1681339716
127,khandyga,62.6667,135.6,-3.57,90,90,1.41,RU,1681339717
128,yellowknife,62.456,-114.3525,-1.71,69,75,4.12,CA,1681339718
129,cockburn town,21.4612,-71.1419,26.98,69,40,4.12,TC,1681339719
130,makakilo city,21.3469,-158.0858,27.18,60,20,6.69,US,1681339720
131,hithadhoo,-0.6,73.0833,28.1,70,13,1.77,MV,1681339721
132,gat,31.61,34.7642,12.38,100,8,5.06,IL,1681339722
133,norman wells,65.282,-126.8329,2.02,48,100,3.6,CA,1681339723
134,bethel,41.3712,-73.414,28.05,21,0,4.63,US,1681339471
135,nhulunbuy,-12.2333,136.7667,26.34,94,69,0.51,AU,1681339724
136,enshi,30.3,109.4833,17.67,90,86,0.55,CN,1681339725
137,pasighat,28.0667,95.3333,20.1,60,5,1.66,IN,1681339726
138,verkhoyansk,67.5447,133.385,-17.52,96,79,0.07,RU,1681339727
139,atasu,48.6814,71.6433,6.16,40,95,2.36,KZ,1681339728
140,lavrentiya,65.5833,-171.0,-13.86,79,74,1.79,RU,1681339729
141,jamestown,42.097,-79.2353,22.8,37,0,7.72,US,1681339730
142,vostok,46.4856,135.8833,-0.32,67,98,5.43,RU,1681339730
143,kavaratti,10.5669,72.642,28.48,75,11,3.24,IN,1681339731
144,ryomgard,56.3843,10.503,7.0,91,100,6.17,DK,1681339733
145,thompson,55.7435,-97.8558,-0.91,86,100,5.14,CA,1681339522
146,torbay,47.6666,-52.7314,1.43,89,100,4.63,CA,1681339736
147,xining,36.6167,101.7667,6.94,46,57,1.1,CN,1681339737
148,xingyi,24.1877,102.817,14.33,37,0,1.99,CN,1681339737
149,airai,-8.9266,125.4092,18.24,86,98,0.54,TL,1681339738
150,ridgecrest,35.6225,-117.6709,27.92,21,75,10.8,US,1681339739
151,tuktoyaktuk,69.4541,-133.0374,-19.0,71,40,6.69,CA,1681339740
152,pisco,-13.7,-76.2167,26.03,69,79,7.72,PE,1681339741
153,port elizabeth,-33.918,25.5701,14.5,82,0,1.03,ZA,1681339742
154,micheweni,-4.9667,39.8333,28.17,72,85,2.01,TZ,1681339742
155,biak,-0.9131,122.8766,25.69,81,81,0.36,ID,1681339743
156,sitka,57.0531,-135.33,3.94,81,100,5.14,US,1681339744
157,ginir,7.1333,40.7,14.78,84,100,1.49,ET,1681339745
158,kosonsoy,41.2561,71.5508,11.31,52,67,4.11,UZ,1681339746
159,lebu,-37.6167,-73.65,13.16,93,100,2.84,CL,1681339747
160,san quintin,30.4833,-115.95,16.23,70,95,6.39,MX,1681339572
161,longyearbyen,78.2186,15.6401,0.91,75,75,4.63,SJ,1681339749
162,kailua,21.4022,-157.7394,27.99,70,40,5.14,US,1681339750
163,kindu,-2.95,25.95,21.1,93,100,0.89,CD,1681339750
164,la rioja,42.25,-2.5,2.88,98,100,1.63,ES,1681339751
165,atambua,-9.1061,124.8925,24.48,87,90,0.44,ID,1681339752
166,alugan,12.2188,125.4808,25.68,87,86,2.01,PH,1681339754
167,karwar,14.8,74.1333,25.85,83,82,2.68,IN,1681339754
168,ambanja,-13.6833,48.45,25.47,85,42,2.85,MG,1681339755
169,santa maria,-29.6842,-53.8069,23.61,73,40,2.06,BR,1681339756
170,hermanus,-34.4187,19.2345,11.56,74,99,2.47,ZA,1681339758
171,ruhengeri,-1.4998,29.635,13.56,87,100,2.03,RW,1681339758
172,georgetown,5.4112,100.3354,27.96,94,20,1.03,MY,1681339560
173,cidreira,-30.1811,-50.2056,24.71,71,65,3.89,BR,1681339760
174,imperial beach,32.5839,-117.1131,18.04,84,100,5.14,US,1681339761
175,tessalit,20.1986,1.0114,29.48,9,100,0.28,ML,1681339761
176,nuuk,64.1835,-51.7216,-0.66,86,20,6.17,GL,1681339762
177,ordu,40.9086,37.6845,3.28,95,100,1.41,TR,1681339763
178,praia da vitoria,38.7333,-27.0667,16.53,88,20,3.4,PT,1681339763
179,yulara,-25.2406,130.9889,25.06,36,98,3.73,AU,1681339660
180,wairoa,-39.0333,177.3667,19.75,72,13,2.24,NZ,1681339765
181,merauke,-8.4667,140.3333,23.79,96,100,3.82,ID,1681339766
182,tezu,27.9167,96.1667,20.86,35,3,2.1,IN,1681339766
183,boende,-0.2167,20.8667,21.82,87,100,0.26,CD,1681339767
184,pauini,-7.7136,-66.9764,27.09,73,99,0.44,BR,1681339768
185,eyl,7.9803,49.8164,27.63,76,99,4.85,SO,1681339768
186,belem de sao francisco,-8.7539,-38.9658,28.29,38,31,7.6,BR,1681339769
187,padang,-0.9492,100.3543,24.03,91,99,1.13,ID,1681339770
188,sola,-13.8833,167.55,28.5,73,81,5.48,VU,1681339770
